Exp,Rep,Oil_V,Surfactant_V,Cosurfactant_V,Sonication,Oil,Surfactant,Cosurfactant,API_Name,Droplet_Size,PDI,Zeta_P,Phase_Sep,Drug_Loading,Permeability
A2,1,7.875,21.6,18.4,1.65,Capryol_90,Tween_80,Propylene_Glycol,blank,104.2,0.346,-2.356666667,0,,
A3,1,8.25,11.0,29.0,0.45,Maisine_Oil,Tween_80,Transcutol_HP,blank,10000.0,1.0,100.0,1,,
A4,1,7.5,21.0,19.0,2.85,Capryol_90,Tween_80,Transcutol_HP,blank,70.24666667,0.565,-2.416666667,0,,
A5,1,7.875,21.6,18.4,2.25,Capryol_90,Tween_80,Propylene_Glycol,blank,112.2333333,0.373,-2.733333333,0,,
A1,2,7.875,21.6,18.4,1.515,Capryol_90,Tween_80,Propylene_Glycol,blank,125.2333333,0.402,-2.293333333,0,,
A2,2,7.875,21.6,18.4,1.65,Capryol_90,Tween_80,Propylene_Glycol,blank,129.3,0.294,-2.263333333,0,,
A3,2,8.25,11.0,29.0,0.45,Maisine_Oil,Tween_80,Transcutol_HP,blank,10000.0,1.0,100.0,1,,
A4,2,7.5,21.0,19.0,2.85,Capryol_90,Tween_80,Transcutol_HP,blank,66.08,0.579,-2.543333333,0,,
A5,2,7.875,21.6,18.4,2.25,Capryol_90,Tween_80,Propylene_Glycol,blank,117.7666667,0.354,-3.32,0,,
A1,3,7.875,21.6,18.4,1.515,Capryol_90,Tween_80,Propylene_Glycol,blank,148.0666667,0.292,-2.49,0,,
A2,3,7.875,21.6,18.4,1.65,Capryol_90,Tween_80,Propylene_Glycol,blank,134.8666667,0.29,-2.446666667,0,,
A3,3,8.25,11.0,29.0,0.45,Maisine_Oil,Tween_80,Transcutol_HP,blank,10000.0,1.0,100.0,1,,
A4,3,7.5,21.0,19.0,2.85,Capryol_90,Tween_80,Transcutol_HP,blank,93.26666667,0.603,-2.28,0,,
A5,3,7.875,21.6,18.4,2.25,Capryol_90,Tween_80,Propylene_Glycol,blank,122.1666667,0.32,-3.266666667,0,,
B1,1,8.25,19.0,21.0,2.85,Oleic_Acid,Tween_80,Transcutol_HP,blank,10000.0,1.0,100.0,1,,
B2,1,7.95,23.0,17.0,1.35,Oleic_Acid,Tween_80,Transcutol_HP,blank,10000.0,1.0,100.0,1,,
B3,1,8.025,11.0,29.0,2.55,Capryol_90,Tween_80,Tween_80,blank,28.66333333,0.733,-2.383333333,0,,
B4,1,8.25,17.0,23.0,1.65,Capryol_90,Tween_20,Ethanol,blank,12.9,0.263333333,-3.293333333,0,,
B5,1,8.25,11.0,29.0,0.45,Capryol_90,PEG_400,Transcutol_HP,blank,10000.0,1.0,100.0,1,,
B1,2,8.25,19.0,21.0,2.85,Oleic_Acid,Tween_80,Transcutol_HP,blank,10000.0,1.0,100.0,1,,
B2,2,7.95,23.0,17.0,1.35,Oleic_Acid,Tween_80,Transcutol_HP,blank,10000.0,1.0,100.0,1,,
B3,2,8.025,11.0,29.0,2.55,Capryol_90,Tween_80,Tween_80,blank,17.35666667,0.318,-2.823333333,0,,
B4,2,8.25,17.0,23.0,1.65,Capryol_90,Tween_20,Ethanol,blank,10.96333333,0.119,-3.2,0,,
B5,2,8.25,11.0,29.0,0.45,Capryol_90,PEG_400,Transcutol_HP,blank,10000.0,1.0,100.0,1,,
B1,3,8.25,19.0,21.0,2.85,Oleic_Acid,Tween_80,Transcutol_HP,blank,10000.0,1.0,100.0,1,,
B2,3,7.95,23.0,17.0,1.35,Oleic_Acid,Tween_80,Transcutol_HP,blank,10000.0,1.0,100.0,1,,
B3,3,8.025,11.0,29.0,2.55,Capryol_90,Tween_80,Tween_80,blank,16.72,0.224666667,-2.926666667,0,,
B4,3,8.25,17.0,23.0,1.65,Capryol_90,Tween_20,Ethanol,blank,11.20666667,0.127,-3.71,0,,
B5,3,8.25,11.0,29.0,0.45,Capryol_90,PEG_400,Transcutol_HP,blank,10000.0,1.0,100.0,1,,
C1,1,13.125,10.5,29.5,1.725,Soybean_Oil,Tween_20,Ethanol,blank,10000.0,1.0,100.0,1,,
C2,1,7.8,21.5,18.5,2.925,Capryol_90,Tween_80,Transcutol_HP,blank,61.38,0.576666667,-1.74,0,,
C3,1,7.875,20.5,19.5,1.74,Capryol_90,Labrasol,Ethanol,blank,10000.0,1.0,100.0,1,,
C4,1,7.875,20.5,19.5,2.775,Capryol_90,Tween_80,Transcutol_HP,blank,85.44666667,0.558333333,-2.09,0,,
C5,1,7.875,10.5,29.5,2.67,Capmul_MCM,Tween_20,Transcutol_HP,blank,128.4,0.485333333,-3.24,0,,
C1,2,13.125,10.5,29.5,1.725,Soybean_Oil,Tween_20,Ethanol,blank,10000.0,1.0,100.0,1,,
C2,2,7.8,21.5,18.5,2.925,Capryol_90,Tween_80,Transcutol_HP,blank,76.69666667,0.515666667,-1.356666667,0,,
C3,2,7.875,20.5,19.5,1.74,Capryol_90,Labrasol,Ethanol,blank,10000.0,1.0,100.0,1,,
C4,2,7.875,20.5,19.5,2.775,Capryol_90,Tween_80,Transcutol_HP,blank,96.6,0.364333333,-2.026666667,0,,
C5,2,7.875,10.5,29.5,2.67,Capmul_MCM,Tween_20,Transcutol_HP,blank,142.5333333,0.516,-3.553333333,0,,
C1,3,13.125,10.5,29.5,1.725,Soybean_Oil,Tween_20,Ethanol,blank,10000.0,0.626133333,100.0,1,,
C2,3,7.8,21.5,18.5,2.925,Capryol_90,Tween_80,Transcutol_HP,blank,100.9,0.532666667,-1.636666667,0,,
C3,3,7.875,20.5,19.5,1.74,Capryol_90,Labrasol,Ethanol,blank,10000.0,0.602888889,100.0,1,,
C4,3,7.875,20.5,19.5,2.775,Capryol_90,Tween_80,Transcutol_HP,blank,99.81666667,0.404333333,-2.063333333,0,,
C5,3,7.875,10.5,29.5,2.67,Capmul_MCM,Tween_20,Transcutol_HP,blank,135.7,0.467666667,-3.81,0,,
D1,1,10.125,24.5,15.5,0.225,Capmul_MCM,Tween_20,Ethanol,blank,104.7,0.688,-3.1,0,,
D2,1,7.5,20.2,19.8,0.975,Capryol_90,Tween_80,Transcutol_HP,blank,89.22,0.521,-2.27,0,,
